,redirect_id_sharing_events,url_str_lens,req_header_num,semicolon_in_query,samesite_none_in_header,p3p_in_header,etag_in_header,uuid_in_url,tracking_keywords_next_to_special_char,subdomain_check,special_char_count,req_query_str_lens,req_query_cookies_num,tracking_keywords_in_url,query_url_check,cookie_syncs
197,0,23,8,0,1,0,0,0,1,1,5,42,42,1,0,0
198,1,12,5,0,1,1,0,1,1,1,7,54,54,1,0,1
199,1,15,8,0,1,0,0,1,1,1,16,95,95,1,0,0
200,1,11,7,0,1,1,0,1,1,1,23,118,118,1,1,0
201,1,16,10,0,1,1,0,0,1,1,20,96,96,1,0,0
202,1,19,16,0,1,1,0,0,1,1,8,57,57,1,0,0
203,1,30,8,0,0,0,0,1,1,1,26,155,155,1,1,0
204,1,12,10,0,1,0,0,1,1,1,6,41,41,1,0,1
205,1,11,7,0,1,0,0,1,1,1,4,19,19,1,0,0
206,1,16,8,0,0,0,0,1,1,1,6,47,47,1,0,1
0,0,13,6,0,0,0,0,0,1,0,0,0,0,1,0,0
1,0,14,14,0,1,1,0,0,1,1,26,134,134,1,1,0
2,0,19,12,0,1,0,0,0,1,1,17,89,89,1,1,0
3,0,12,10,0,1,1,0,0,1,1,1,36,36,1,0,0
4,0,18,7,0,1,0,0,0,1,1,3,10,10,1,0,0
5,0,16,12,0,1,0,0,0,1,0,28,190,190,1,1,0
6,1,27,10,0,1,1,0,0,0,1,5,73,73,0,0,0
7,0,14,8,0,0,1,0,1,1,1,0,0,0,1,0,0
8,1,27,7,0,1,0,0,0,0,1,5,43,43,0,0,0
9,0,19,20,0,1,0,0,0,1,1,19,101,101,1,1,0
10,0,27,11,0,1,0,0,0,0,1,7,125,125,0,0,0
11,0,27,11,0,1,0,0,0,0,1,7,95,95,0,0,0
12,0,27,15,0,0,1,0,1,1,1,0,0,0,1,0,0
13,1,15,10,0,1,0,0,0,1,1,23,133,133,1,1,0
14,1,14,12,0,0,0,0,1,1,1,4,20,20,1,0,0
15,0,20,12,0,1,0,0,0,1,1,25,207,207,1,1,0
16,0,22,14,0,0,0,0,1,1,1,16,84,84,1,1,0
17,1,14,7,0,0,0,0,1,1,1,0,0,0,1,0,0
18,1,14,9,0,0,1,0,1,1,1,0,0,0,1,0,0
19,0,16,10,0,1,1,0,0,1,1,10,42,42,1,0,0
20,0,15,9,0,1,1,0,0,1,1,23,133,133,1,1,0
21,1,14,15,0,1,1,0,1,1,1,0,0,0,1,0,0
22,0,17,9,0,0,1,0,0,1,0,0,0,0,1,0,0
23,0,17,12,0,1,0,0,1,1,1,19,123,123,1,0,0
24,1,14,10,0,1,1,0,1,1,1,0,0,0,1,0,0
25,1,15,9,0,1,1,0,1,1,1,9,69,69,1,0,0
26,0,19,15,0,1,1,0,0,1,1,0,0,0,1,0,0
27,0,14,14,0,0,0,0,1,1,1,0,0,0,1,0,0
28,0,14,15,0,0,1,0,1,1,1,0,0,0,1,0,0
29,1,14,15,0,0,1,0,1,1,1,0,0,0,1,0,0
30,0,22,14,0,0,0,0,0,0,1,0,0,0,0,0,0
31,1,20,14,0,0,0,0,0,1,1,11,84,84,1,0,0
32,1,24,14,0,0,0,0,0,1,1,7,47,47,1,0,0
33,1,24,14,0,0,0,0,0,1,1,7,46,46,1,0,0
34,1,12,14,0,0,0,0,1,1,1,3,32,32,1,0,0
35,1,14,14,0,0,0,0,0,1,1,3,33,33,1,0,0
36,1,19,14,0,0,0,0,0,0,1,4,87,87,0,0,0
37,0,17,9,0,1,0,0,1,1,1,23,173,173,1,0,0
38,1,20,8,0,0,1,0,0,1,1,15,88,88,1,0,0
39,1,27,14,0,0,0,0,1,1,1,6,38,38,1,0,0
40,1,16,14,0,0,0,0,0,0,0,7,51,51,0,0,0
41,1,18,12,0,0,0,0,0,1,1,10,42,42,1,0,0
42,0,14,15,0,0,1,0,1,1,0,129,756,756,1,1,0
43,1,14,14,0,1,1,0,1,1,1,0,0,0,1,0,0
44,0,14,9,0,0,1,0,0,1,1,5,38,38,1,0,0
45,0,24,18,0,1,1,0,0,1,1,9,50,50,1,0,0
46,0,12,14,0,1,1,0,1,1,1,5,50,50,1,0,0
47,0,21,7,0,0,1,0,0,1,1,0,0,0,1,0,0
48,0,27,12,0,1,0,0,1,1,1,20,100,100,1,0,0
0,0,22,12,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,9,16,0,0,0,0,0,0,1,0,0,0,0,0,0
2,0,9,16,0,0,0,0,0,0,1,0,0,0,0,0,0
3,0,19,6,0,0,0,0,0,0,1,7,25,25,0,0,0
4,0,9,16,0,0,0,0,0,0,1,0,0,0,0,0,0
5,1,20,7,0,0,1,0,0,1,1,10,99,99,1,0,0
0,0,13,10,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,15,9,0,0,0,0,0,1,1,9,40,40,1,1,0
2,0,14,13,0,0,0,0,0,0,1,3,361,361,0,0,0
3,0,8,13,0,1,1,0,1,1,1,49,300,300,1,1,0
